opponent,result,win,loss,margin,location,opponent rating
UTEP,1,1,11,7,AWAY,0
Liberty,1,6,6,8,HOME,0.340221082457989
FCS,1,8,106,10,HOME,0.000769998244192226
Wyoming,0,6,6,22,HOME,0.419358145826074
Minnesota,0,6,6,38,AWAY,0.458137990603829
Utah St,0,10,2,47,AWAY,0.667466493543272
New Mexico,0,3,9,17,HOME,0.236699965704469
ULL,0,6,5,28,AWAY,0.470730482744223
Ga Southern,0,9,3,17,HOME,0.580629140209413
Texas St,0,3,9,7,AWAY,0.205154738347006
BYU,0,6,6,35,AWAY,0.468920807623431
Liberty,0,6,6,7,AWAY,0.340221082457989
