opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,16,HOME,0.000769998244192226
New Mexico St,1,3,9,7,HOME,0.135628013475393
Georgia St,1,2,10,9,AWAY,0.192094577935086
Rutgers,0,1,11,28,AWAY,0.142195290938339
South Alabama,0,3,9,10,AWAY,0.198141556916694
UT San Antonio,0,3,9,4,AWAY,0.157072136220403
ULL,0,6,5,15,HOME,0.470730482744223
Ga Southern,0,9,3,2,HOME,0.580629140209413
ULM,0,6,6,6,AWAY,0.344645210077282
Appalachian St,0,10,2,31,HOME,0.659401122251941
Troy,0,9,3,5,AWAY,0.559089094366952
Arkansas St,0,8,4,26,HOME,0.542798882966119
