opponent,result,win,loss,margin,location,opponent rating
Rice,1,2,11,8,AWAY,0.087561129839736
FCS,0,8,106,20,HOME,0.000769998244192226
UNLV,0,4,8,28,AWAY,0.242047874131288
Tennessee,0,5,7,24,AWAY,0.426213570238814
New Mexico St,0,3,9,7,HOME,0.135628013475393
UT San Antonio,0,3,9,9,AWAY,0.157072136220403
North Texas,0,9,3,3,HOME,0.566226921948455
Louisiana Tech,0,7,5,7,AWAY,0.441140405717563
UAB,0,10,3,19,HOME,0.521923000912338
MTSU,0,8,5,16,HOME,0.484435690225168
WKU,0,3,9,24,AWAY,0.216702075652369
Southern Miss,0,6,5,32,HOME,0.347237402073064
