opponent,result,win,loss,margin,location,opponent rating
Ball St,1,4,8,8,AWAY,0.194642348013845
UTEP,1,1,11,24,HOME,0
Louisiana Tech,1,7,5,15,AWAY,0.441140405717563
Wisconsin,0,7,5,31,AWAY,0.528155201562796
FCS,0,8,106,3,HOME,0.000769998244192226
Louisville,0,2,10,3,AWAY,0.229406836627335
Marshall,0,8,4,3,HOME,0.531754889860287
Charlotte,0,5,7,26,AWAY,0.323727691666351
Old Dominion,0,4,8,3,HOME,0.249476996007373
Florida Intl,0,8,4,21,HOME,0.475982875318223
MTSU,0,8,5,19,AWAY,0.484435690225168
FL Atlantic,0,5,7,19,AWAY,0.461693554039236
