opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,41,HOME,0.000769998244192226
South Alabama,1,3,9,42,HOME,0.198141556916694
Boise St,1,10,3,23,HOME,0.650992768654197
Kansas,1,3,9,20,AWAY,0.221018492957153
Texas,1,9,4,3,HOME,0.624442893770101
West Virginia,1,8,3,4,HOME,0.68824171421713
Texas Tech,0,5,7,24,HOME,0.433867128284314
Iowa St,0,8,4,6,HOME,0.576450167683861
Kansas St,0,5,7,19,AWAY,0.472544202064512
Baylor,0,6,6,4,AWAY,0.43300358027017
Oklahoma,0,12,1,1,AWAY,0.780914806571746
TCU,0,6,6,7,AWAY,0.472750818076519
