opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-8,8,106,24,HOME,0.000769998244192226
WKU,1,2018-9-15,3,9,3,HOME,0.216702075652369
Alabama,0,2018-9-1,13,0,37,NEUTRAL,1
Virginia,0,2018-9-22,7,5,24,AWAY,0.523953179912563
Florida St,0,2018-9-29,5,7,4,HOME,0.433535169304531
Georgia Tech,0,2018-10-5,7,5,35,HOME,0.524202622754867
Boston College,0,2018-10-13,7,5,18,AWAY,0.583380130118003
Wake Forest,0,2018-10-27,6,6,21,HOME,0.473718361993184
Clemson,0,2018-11-3,13,0,61,AWAY,0.961719907014965
Syracuse,0,2018-11-9,9,3,31,AWAY,0.659872406070867
NC State,0,2018-11-17,9,3,42,HOME,0.658476757405083
Kentucky,0,2018-11-24,9,3,46,HOME,0.662329133530505
